    time     score     fuel       Sx       Sy   target
      72 0.000000 10000.000000 -6532197.977189 569770.745396 42164000.000000
      73 0.000000 10000.000000 -6531514.259095 577555.713270 42164000.000000
      74 0.000000 10000.000000 -6530821.263008 585339.860728 42164000.000000
      75 0.000000 10000.000000 -6530118.989914 593123.176713 42164000.000000
      76 0.000000 10000.000000 -6529407.440809 600905.650169 42164000.000000
      77 0.000000 10000.000000 -6528686.616706 608687.270040 42164000.000000
      78 0.000000 10000.000000 -6527956.518626 616468.025273 42164000.000000
      79 0.000000 10000.000000 -6527217.147609 624247.904816 42164000.000000
      80 0.000000 10000.000000 -6526468.504703 632026.897617 42164000.000000
      81 0.000000 10000.000000 -6525710.590972 639804.992626 42164000.000000
      82 0.000000 10000.000000 -6524943.407494 647582.178794 42164000.000000
      83 0.000000 10000.000000 -6524166.955357 655358.445074 42164000.000000
      84 0.000000 10000.000000 -6523381.235665 663133.780420 42164000.000000
      85 0.000000 10000.000000 -6522586.249534 670908.173787 42164000.000000
      86 0.000000 10000.000000 -6521781.998093 678681.614131 42164000.000000
      87 0.000000 10000.000000 -6520968.482485 686454.090411 42164000.000000
      88 0.000000 10000.000000 -6520145.703864 694225.591585 42164000.000000
      89 0.000000 10000.000000 -6519313.663401 701996.106614 42164000.000000
      90 0.000000 10000.000000 -6518472.362276 709765.624460 42164000.000000
      91 0.000000 10000.000000 -6517621.801686 717534.134087 42164000.000000
      92 0.000000 10000.000000 -6516761.982837 725301.624459 42164000.000000
      93 0.000000 10000.000000 -6515892.906952 733068.084543 42164000.000000
      94 0.000000 10000.000000 -6515014.575265 740833.503306 42164000.000000
      95 0.000000 10000.000000 -6514126.989023 748597.869718 42164000.000000
      96 0.000000 10000.000000 -6513230.149488 756361.172749 42164000.000000
      97 0.000000 10000.000000 -6512324.057933 764123.401372 42164000.000000
      98 0.000000 10000.000000 -6511408.715646 771884.544561 42164000.000000
      99 0.000000 10000.000000 -6510484.123927 779644.591291 42164000.000000
     100 0.000000 10000.000000 -6509550.284088 787403.530538 42164000.000000
     101 0.000000 10000.000000 -6508607.197458 795161.351281 42164000.000000
     102 0.000000 10000.000000 -6507654.865374 802918.042501 42164000.000000
     103 0.000000 10000.000000 -6506693.289191 810673.593178 42164000.000000
     104 0.000000 10000.000000 -6505722.470274 818427.992297 42164000.000000
     105 0.000000 10000.000000 -6504742.410002 826181.228841 42164000.000000
     106 0.000000 10000.000000 -6503753.109767 833933.291799 42164000.000000
     107 0.000000 10000.000000 -6502754.570975 841684.170157 42164000.000000
     108 0.000000 10000.000000 -6501746.795043 849433.852905 42164000.000000
     109 0.000000 10000.000000 -6500729.783405 857182.329036 42164000.000000
     110 0.000000 10000.000000 -6499703.537503 864929.587543 42164000.000000
     111 0.000000 10000.000000 -6498668.058796 872675.617420 42164000.000000
     112 0.000000 10000.000000 -6497623.348755 880420.407665 42164000.000000
     113 0.000000 10000.000000 -6496569.408864 888163.947276 42164000.000000
     114 0.000000 10000.000000 -6495506.240620 895906.225253 42164000.000000
     115 0.000000 10000.000000 -6494433.845533 903647.230599 42164000.000000
     116 0.000000 10000.000000 -6493352.225127 911386.952317 42164000.000000
     117 0.000000 10000.000000 -6492261.380937 919125.379414 42164000.000000
     118 0.000000 10000.000000 -6491161.314515 926862.500896 42164000.000000
     119 0.000000 10000.000000 -6490052.027421 934598.305773 42164000.000000
     120 0.000000 10000.000000 -6488933.521232 942332.783057 42164000.000000
     121 0.000000 10000.000000 -6487805.797537 950065.921761 42164000.000000
     122 0.000000 10000.000000 -6486668.857937 957797.710899 42164000.000000
     123 0.000000 10000.000000 -6485522.704049 965528.139490 42164000.000000
     124 0.000000 10000.000000 -6484367.337499 973257.196551 42164000.000000
     125 0.000000 10000.000000 -6483202.759929 980984.871104 42164000.000000
     126 0.000000 10000.000000 -6482028.972993 988711.152171 42164000.000000
     127 0.000000 10000.000000 -6480845.978359 996436.028778 42164000.000000
     128 0.000000 10000.000000 -6479653.777707 1004159.489951 42164000.000000
     129 0.000000 10000.000000 -6478452.372730 1011881.524720 42164000.000000
     130 0.000000 10000.000000 -6477241.765136 1019602.122114 42164000.000000
     131 0.000000 10000.000000 -6476021.956644 1027321.271167 42164000.000000
     132 0.000000 10000.000000 -6474792.948986 1035038.960914 42164000.000000
     133 0.000000 10000.000000 -6473554.743908 1042755.180392 42164000.000000
     134 0.000000 10000.000000 -6472307.343170 1050469.918641 42164000.000000
     135 0.000000 10000.000000 -6471050.748543 1058183.164700 42164000.000000
     136 0.000000 10000.000000 -6469784.961812 1065894.907614 42164000.000000
     137 0.000000 10000.000000 -6468509.984776 1073605.136429 42164000.000000
     138 0.000000 10000.000000 -6467225.819244 1081313.840191 42164000.000000
     139 0.000000 10000.000000 -6465932.467042 1089021.007951 42164000.000000
     140 0.000000 10000.000000 -6464629.930007 1096726.628761 42164000.000000
     141 0.000000 10000.000000 -6463318.209989 1104430.691674 42164000.000000
     142 0.000000 10000.000000 -6461997.308851 1112133.185748 42164000.000000
     143 0.000000 10000.000000 -6460667.228469 1119834.100040 42164000.000000
     144 0.000000 10000.000000 -6459327.970734 1127533.423613 42164000.000000
     145 0.000000 10000.000000 -6457979.537547 1135231.145528 42164000.000000
     146 0.000000 10000.000000 -6456621.930823 1142927.254852 42164000.000000
     147 0.000000 10000.000000 -6455255.152492 1150621.740651 42164000.000000
     148 0.000000 10000.000000 -6453879.204495 1158314.591997 42164000.000000
     149 0.000000 10000.000000 -6452494.088786 1166005.797961 42164000.000000
     150 0.000000 10000.000000 -6451099.807333 1173695.347618 42164000.000000
     151 0.000000 10000.000000 -6449696.362116 1181383.230045 42164000.000000
     152 0.000000 10000.000000 -6448283.755129 1189069.434322 42164000.000000
     153 0.000000 10000.000000 -6446861.988379 1196753.949530 42164000.000000
     154 0.000000 10000.000000 -6445431.063885 1204436.764753 42164000.000000
     155 0.000000 10000.000000 -6443990.983680 1212117.869079 42164000.000000
     156 0.000000 10000.000000 -6442541.749810 1219797.251595 42164000.000000
     157 0.000000 10000.000000 -6441083.364333 1227474.901394 42164000.000000
     158 0.000000 10000.000000 -6439615.829320 1235150.807569 42164000.000000
     159 0.000000 10000.000000 -6438139.146857 1242824.959217 42164000.000000
     160 0.000000 10000.000000 -6436653.319041 1250497.345437 42164000.000000
     161 0.000000 10000.000000 -6435158.347983 1258167.955330 42164000.000000
     162 0.000000 10000.000000 -6433654.235805 1265836.778000 42164000.000000
     163 0.000000 10000.000000 -6432140.984646 1273503.802553 42164000.000000
     164 0.000000 10000.000000 -6430618.596654 1281169.018099 42164000.000000
     165 0.000000 10000.000000 -6429087.073992 1288832.413749 42164000.000000
     166 0.000000 10000.000000 -6427546.418836 1296493.978618 42164000.000000
     167 0.000000 10000.000000 -6425996.633373 1304153.701821 42164000.000000
     168 0.000000 10000.000000 -6424437.719806 1311811.572479 42164000.000000
     169 0.000000 10000.000000 -6422869.680349 1319467.579714 42164000.000000
     170 0.000000 10000.000000 -6421292.517229 1327121.712650 42164000.000000
     171 0.000000 10000.000000 -6419706.232686 1334773.960414 42164000.000000
     172 0.000000 10000.000000 -6418110.828975 1342424.312136 42164000.000000
     173 0.000000 10000.000000 -6416506.308361 1350072.756950 42164000.000000
     174 0.000000 10000.000000 -6414892.673123 1357719.283991 42164000.000000
     175 0.000000 10000.000000 -6413269.925554 1365363.882396 42164000.000000
     176 0.000000 10000.000000 -6411638.067958 1373006.541307 42164000.000000
     177 0.000000 10000.000000 -6409997.102655 1380647.249867 42164000.000000
     178 0.000000 10000.000000 -6408347.031974 1388285.997223 42164000.000000
     179 0.000000 10000.000000 -6406687.858259 1395922.772523 42164000.000000
     180 0.000000 10000.000000 -6405019.583869 1403557.564921 42164000.000000
     181 0.000000 10000.000000 -6403342.211171 1411190.363570 42164000.000000
     182 0.000000 10000.000000 -6401655.742550 1418821.157629 42164000.000000
     183 0.000000 10000.000000 -6399960.180400 1426449.936257 42164000.000000
     184 0.000000 10000.000000 -6398255.527130 1434076.688618 42164000.000000
     185 0.000000 10000.000000 -6396541.785162 1441701.403879 42164000.000000
     186 0.000000 10000.000000 -6394818.956930 1449324.071208 42164000.000000
     187 0.000000 10000.000000 -6393087.044881 1456944.679778 42164000.000000
     188 0.000000 10000.000000 -6391346.051476 1464563.218763 42164000.000000
     189 0.000000 10000.000000 -6389595.979187 1472179.677341 42164000.000000
     190 0.000000 10000.000000 -6387836.830500 1479794.044694 42164000.000000
     191 0.000000 10000.000000 -6386068.607915 1487406.310005 42164000.000000
     192 0.000000 10000.000000 -6384291.313943 1495016.462460 42164000.000000
     193 0.000000 10000.000000 -6382504.951109 1502624.491251 42164000.000000
     194 0.000000 10000.000000 -6380709.521950 1510230.385568 42164000.000000
     195 0.000000 10000.000000 -6378905.029017 1517834.134609 42164000.000000
     196 0.000000 10000.000000 -6377091.474873 1525435.727572 42164000.000000
     197 0.000000 10000.000000 -6375268.862094 1533035.153660 42164000.000000
     198 0.000000 10000.000000 -6373437.193269 1540632.402076 42164000.000000
     199 0.000000 10000.000000 -6371596.471000 1548227.462030 42164000.000000
     200 0.000000 10000.000000 -6369746.697902 1555820.322733 42164000.000000
     201 0.000000 10000.000000 -6367887.876602 1563410.973398 42164000.000000
     202 0.000000 10000.000000 -6366020.009741 1570999.403244 42164000.000000
     203 0.000000 10000.000000 -6364143.099972 1578585.601492 42164000.000000
     204 0.000000 10000.000000 -6362257.149961 1586169.557364 42164000.000000
     205 0.000000 10000.000000 -6360362.162387 1593751.260088 42164000.000000
     206 0.000000 10000.000000 -6358458.139943 1601330.698894 42164000.000000
     207 0.000000 10000.000000 -6356545.085332 1608907.863016 42164000.000000
     208 0.000000 10000.000000 -6354623.001273 1616482.741691 42164000.000000
     209 0.000000 10000.000000 -6352691.890495 1624055.324157 42164000.000000
     210 0.000000 10000.000000 -6350751.755741 1631625.599660 42164000.000000
     211 0.000000 10000.000000 -6348802.599769 1639193.557443 42164000.000000
     212 0.000000 10000.000000 -6346844.425346 1646759.186759 42164000.000000
     213 0.000000 10000.000000 -6344877.235253 1654322.476859 42164000.000000
     214 0.000000 10000.000000 -6342901.032286 1661883.417001 42164000.000000
     215 0.000000 10000.000000 -6340915.819252 1669441.996443 42164000.000000
     216 0.000000 10000.000000 -6338921.598970 1676998.204448 42164000.000000
     217 0.000000 10000.000000 -6336918.374274 1684552.030284 42164000.000000
     218 0.000000 10000.000000 -6334906.148008 1692103.463221 42164000.000000
     219 0.000000 10000.000000 -6332884.923032 1699652.492530 42164000.000000
     220 0.000000 10000.000000 -6330854.702216 1707199.107490 42164000.000000
     221 0.000000 10000.000000 -6328815.488444 1714743.297379 42164000.000000
     222 0.000000 10000.000000 -6326767.284614 1722285.051482 42164000.000000
     223 0.000000 10000.000000 -6324710.093634 1729824.359085 42164000.000000
     224 0.000000 10000.000000 -6322643.918426 1737361.209479 42164000.000000
     225 0.000000 10000.000000 -6320568.761927 1744895.591958 42164000.000000
     226 0.000000 10000.000000 -6318484.627083 1752427.495820 42164000.000000
     227 0.000000 10000.000000 -6316391.516855 1759956.910364 42164000.000000
     228 0.000000 10000.000000 -6314289.434216 1767483.824897 42164000.000000
     229 0.000000 10000.000000 -6312178.382153 1775008.228725 42164000.000000
     230 0.000000 10000.000000 -6310058.363663 1782530.111161 42164000.000000
     231 0.000000 10000.000000 -6307929.381759 1790049.461519 42164000.000000
     232 0.000000 10000.000000 -6305791.439465 1797566.269118 42164000.000000
     233 0.000000 10000.000000 -6303644.539818 1805080.523281 42164000.000000
     234 0.000000 10000.000000 -6301488.685866 1812592.213334 42164000.000000
     235 0.000000 10000.000000 -6299323.880674 1820101.328607 42164000.000000
     236 0.000000 10000.000000 -6297150.127315 1827607.858432 42164000.000000
     237 0.000000 10000.000000 -6294967.428878 1835111.792148 42164000.000000
     238 0.000000 10000.000000 -6292775.788463 1842613.119093 42164000.000000
     239 0.000000 10000.000000 -6290575.209183 1850111.828614 42164000.000000
     240 0.000000 10000.000000 -6288365.694165 1857607.910058 42164000.000000
     241 0.000000 10000.000000 -6286147.246546 1865101.352776 42164000.000000
     242 0.000000 10000.000000 -6283919.869479 1872592.146125 42164000.000000
     243 0.000000 10000.000000 -6281683.566127 1880080.279464 42164000.000000
     244 0.000000 10000.000000 -6279438.339666 1887565.742156 42164000.000000
     245 0.000000 10000.000000 -6277184.193287 1895048.523567 42164000.000000
     246 0.000000 10000.000000 -6274921.130191 1902528.613069 42164000.000000
     247 0.000000 10000.000000 -6272649.153593 1910006.000037 42164000.000000
     248 0.000000 10000.000000 -6270368.266720 1917480.673848 42164000.000000
     249 0.000000 10000.000000 -6268078.472812 1924952.623885 42164000.000000
     250 0.000000 10000.000000 -6265779.775123 1932421.839533 42164000.000000
     251 0.000000 10000.000000 -6263472.176916 1939888.310184 42164000.000000
     252 0.000000 10000.000000 -6261155.681470 1947352.025231 42164000.000000
     253 0.000000 10000.000000 -6258830.292076 1954812.974071 42164000.000000
     254 0.000000 10000.000000 -6256496.012037 1962271.146107 42164000.000000
     255 0.000000 10000.000000 -6254152.844668 1969726.530744 42164000.000000
     256 0.000000 10000.000000 -6251800.793299 1977179.117391 42164000.000000
     257 0.000000 10000.000000 -6249439.861270 1984628.895463 42164000.000000
     258 0.000000 10000.000000 -6247070.051935 1992075.854377 42164000.000000
     259 0.000000 10000.000000 -6244691.368660 1999519.983555 42164000.000000
     260 0.000000 10000.000000 -6242303.814824 2006961.272422 42164000.000000
     261 0.000000 10000.000000 -6239907.393819 2014399.710408 42164000.000000
     262 0.000000 10000.000000 -6237502.109049 2021835.286947 42164000.000000
     263 0.000000 10000.000000 -6235087.963930 2029267.991476 42164000.000000
     264 0.000000 10000.000000 -6232664.961892 2036697.813438 42164000.000000
     265 0.000000 10000.000000 -6230233.106377 2044124.742278 42164000.000000
     266 0.000000 10000.000000 -6227792.400838 2051548.767447 42164000.000000
